City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Humaita,BR,76.95,clear sky,-7.5061,-63.0208,Corrêa Hotel
5,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
6,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
10,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
11,Faanui,PF,79.34,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
19,Ganzhou,CN,78.85,overcast clouds,28.8184,115.4327,Zhanqian Grand Hotel
21,Kavieng,PG,83.44,light rain,-2.5744,150.7967,Nusa Island Retreat
22,Hithadhoo,MV,81.79,scattered clouds,-0.6,73.0833,Scoop Guest House
23,Rikitea,PF,75.13,clear sky,-23.1203,-134.9692,People ThankYou
26,San Patricio,US,85.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
28,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
29,Atuona,PF,78.03,clear sky,-9.8,-139.0333,Villa Enata
31,Sorong,ID,83.32,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
33,Valdosta,US,84.97,overcast clouds,30.8327,-83.2785,Courtyard by Marriott Valdosta
35,Victoria,HK,88.18,moderate rain,22.2855,114.1577,Mini Central
50,San Policarpo,PH,85.32,overcast clouds,12.1791,125.5072,Agapita M. Nicart
76,Kavaratti,IN,81.97,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
79,Half Moon Bay,US,77.02,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
80,Katsuura,JP,75.97,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
83,Salalah,OM,80.69,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
84,Cody,US,80.04,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
87,Vostok,RU,75.4,overcast clouds,46.4856,135.8833,
89,Ca Mau,VN,87.1,few clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
92,Namatanai,PG,85.12,light rain,-3.6667,152.4333,Seagulls Inn Namatani
101,Samarai,PG,83.7,scattered clouds,-10.6167,150.6667,Nuli Sapi
103,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
106,Bula,PH,85.19,light rain,13.4701,123.278,ZONE 2 CASUGAD BULA CAM SUR
111,Bubaque,GW,79.75,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
112,Balabac,PH,81.93,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
117,Lucea,JM,82.26,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
118,Nouakchott,MR,75.13,few clouds,18.0858,-15.9785,HOTEL IMAN
123,Moirang,IN,80.65,overcast clouds,24.5,93.7667,"Lake View Hotel, Moirang"
126,Morehead,US,82.15,mist,37.2711,-87.1764,CCI Express Inn
133,Negombo,LK,80.65,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
135,Nizwa,OM,89.67,overcast clouds,22.9333,57.5333,Orient Apartments
140,Makakilo City,US,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
149,Lixourion,GR,79.61,clear sky,38.2019,20.4314,Hotel Summery
152,Itoman,JP,88.57,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
153,Campo Maior,BR,77.9,overcast clouds,-4.8278,-42.1686,Elite Hotel
156,Lorengau,PG,85.3,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
159,Labuhan,ID,85.5,broken clouds,-6.8844,112.2051,DoubleFAG
162,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
164,Lincoln,US,89.51,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
165,Hobyo,SO,75.58,clear sky,5.3505,48.5268,Iftin hotel hobyo
167,Poum,NC,77.45,broken clouds,-20.2333,164.0167,
170,Kudahuvadhoo,MV,82.96,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
172,Dhamrai,BD,84.18,light rain,23.9202,90.2109,Dhamrai to Kalampur Auto Station
176,Koulikoro,ML,77.47,light rain,14.0,-7.75,
179,Marzuq,YE,78.31,overcast clouds,14.4,46.4667,
180,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
185,Benicarlo,ES,75.9,broken clouds,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
187,Pringsewu,ID,85.89,scattered clouds,-5.3582,104.9744,Urban Style by Front One
192,Aden,YE,84.99,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
193,Furukawa,JP,78.55,overcast clouds,38.5717,140.9556,Value the Hotel Furukawa Sanbongi
206,Ternate,ID,81.77,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
209,Goderich,CA,75.52,overcast clouds,43.7501,-81.7165,Harmony Inn
210,Manga,BF,77.67,overcast clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
211,Tautira,PF,77.83,light rain,-17.7333,-149.15,Pension Oaoa
213,Butaritari,KI,82.45,light rain,3.0707,172.7902,Isles Sunset Lodge
218,Farah,AF,78.06,few clouds,32.5,62.5,
219,Sakaiminato,JP,89.58,broken clouds,35.55,133.2333,Italian pasley
220,Tondi,IN,82.44,overcast clouds,9.7333,79.0167,Star Lodge
221,Bluefields,NI,76.87,overcast clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
222,Laguna,US,84.76,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
224,Cockburn Town,TC,81.55,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
228,Norman Wells,CA,78.84,broken clouds,65.282,-126.8329,Heritage Hotel
231,Balad,IQ,89.26,clear sky,34.0164,44.1453,رضاوي زنوبة
238,Rongcheng,CN,84.22,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
241,Seminole,US,84.56,clear sky,28.7086,-81.2081,The Oviedo Lodge Motel
248,Erenhot,CN,82.0,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
249,Boyolangu,ID,84.09,broken clouds,-8.1181,111.8935,Yos ega cv
252,Bengkulu,ID,83.43,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
259,Gambissara,SN,75.9,light rain,13.2382,-14.3108,
260,San Leandro,US,77.16,scattered clouds,37.7249,-122.1561,Best Western Plus Airport Inn & Suites
263,Dwarka,IN,85.15,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
265,Champerico,GT,81.3,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
266,Hermiston,US,83.05,clear sky,45.8404,-119.2895,Oxford Suites Hermiston
268,Luwuk,ID,79.57,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
271,Simpang,ID,83.37,overcast clouds,-1.2667,104.0833,
273,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
274,Minuri,PH,87.1,moderate rain,16.535,121.8574,
279,Sur,OM,86.76,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
280,Arlit,NE,88.23,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
284,Biltine,TD,84.76,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
287,Pochutla,MX,80.42,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
292,Athmallik,IN,82.67,overcast clouds,20.7219,84.5348,"Mishra resident and Advocate chamber,Bangalasahi,Athamallik,Angul"
294,Kualakapuas,ID,88.99,scattered clouds,-3.0091,114.3876,Guest House Izonk
298,San Benito Abad,CO,76.14,overcast clouds,8.929,-75.0271,"Tu casa en la villa "" Dónde la seño Cristina"""
299,Tura,IN,84.61,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
300,Batagay,RU,80.01,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
304,Bandarbeyla,SO,79.41,scattered clouds,9.4942,50.8122,JABIR HOTEL
307,Sinnamary,GF,77.07,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
310,Deputatskiy,RU,75.54,broken clouds,69.3,139.9,Baza Otdykha
311,Freeport,US,78.78,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
313,Urumqi,CN,77.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
314,Shahe,CN,80.01,broken clouds,39.2708,113.5478,五台山宾馆
317,Shima,CN,84.22,light rain,24.4478,117.8111,龙海钻石大酒店
318,Kaitong,CN,80.91,overcast clouds,44.8135,123.15,Jinhe Fashion Hotel
321,Miami,US,84.22,scattered clouds,25.7743,-80.1937,Miami Sun Hotel- Downtown/Port of Miami
329,Kampong Thum,KH,86.94,broken clouds,12.7111,104.8887,Sambor Village Hotel
330,Amuntai,ID,89.1,few clouds,-2.4177,115.2494,Hotel Balqis
331,Huanren,CN,86.34,few clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
335,Meulaboh,ID,77.09,light rain,4.1363,96.1285,Kost Pria
336,Smithers,CA,77.32,scattered clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
337,Dingle,PH,83.37,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
342,Gannan,CN,84.15,overcast clouds,47.9147,123.5031,Gannan Supply and Marketing Cooperatives Hostel
345,Baffa,PK,81.95,light rain,34.4378,73.2194,Kisan veternary store Baffa
347,Windsor,CA,83.07,overcast clouds,42.3001,-83.0165,Detroit Marriott at the Renaissance Center
351,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
356,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
359,Palafrugell,ES,75.25,clear sky,41.9174,3.1631,Hotel La Torre
361,Bocas Del Toro,PA,80.08,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
362,Honiara,SB,87.4,broken clouds,-9.4333,159.95,Heritage Park Hotel
366,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
371,Magdagachi,RU,84.83,scattered clouds,53.45,125.8,Motopolyana Magdagachi
373,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
375,Awbari,LY,78.46,clear sky,26.5921,12.7805,فندق أوباري
376,Indian Head,US,76.84,clear sky,38.6001,-77.1622,"Red Carpet Inn Indian Head, MD"
378,Dawei,MM,77.58,overcast clouds,14.0833,98.2,Hotel Dawei
382,Longhua,CN,81.54,moderate rain,23.6137,114.1919,Huadu Hotel
385,Osmena,PH,81.34,moderate rain,10.5208,119.9258,Arjemarkyza Lodge
388,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
390,Shimoda,JP,79.16,light rain,34.6667,138.95,Shimoda Tokyu Hotel
397,Berezovyy,RU,88.09,scattered clouds,51.6667,135.7,"Hotel ""Phoenix"""
403,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
404,Bosaso,SO,87.19,overcast clouds,11.2842,49.1816,Red Sea Hotel
407,Surt,LY,78.82,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
408,San Jose,US,75.99,broken clouds,37.3394,-121.895,The Westin San Jose
412,Kismayo,SO,76.3,broken clouds,-0.3582,42.5454,Agan-Hotel
417,Bac Lieu,VN,86.38,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
420,Wallaceburg,CA,79.05,overcast clouds,42.593,-82.3885,Wallaceburg Inn
424,Haines Junction,CA,82.35,broken clouds,60.7522,-137.5108,Parkside Inn
425,Ust-Nera,RU,85.08,overcast clouds,64.5667,143.2,Hotel Ust-Nera
428,Quartucciu,IT,81.0,clear sky,39.2519,9.1794,Best Western Hotel Residence Italia
433,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
437,Wilmington,US,79.0,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
442,Glenwood Springs,US,86.92,clear sky,39.5505,-107.3248,Glenwood Springs Cedar Lodge
444,Kiunga,PG,81.46,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
445,Ardakan,IR,75.81,clear sky,32.31,54.0175,Ardakan Hotel
447,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
450,Chandbali,IN,87.62,heavy intensity rain,20.7833,86.7667,Sabitri Bhavan
453,Mutis,CO,77.65,overcast clouds,6.2262,-77.4044,Paraiso Escondido
456,Ambon,ID,78.24,heavy intensity rain,-3.6954,128.1814,Swiss-Belhotel Ambon
459,Dicabisagan,PH,87.21,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
461,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
466,Casay,PH,85.1,broken clouds,9.8204,123.5496,Blue Pot Family Resort
467,Opatija,HR,78.75,overcast clouds,45.3392,14.3083,Hotel Opatija
472,Chumphon,TH,75.61,overcast clouds,10.3333,98.8333,สกาน จ๋า.
473,Laiyang,CN,87.6,overcast clouds,36.9758,120.7136,莱阳恒银宾馆
474,Porto Walter,BR,75.04,few clouds,-8.2686,-72.7439,Hotel Silva
475,Zabaykalsk,RU,78.96,scattered clouds,49.6333,117.3167,Zheleznyy Mir
476,Awjilah,LY,77.04,clear sky,29.1081,21.2869,المنزل
477,Matara,LK,79.47,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
479,Palampur,IN,79.34,broken clouds,32.1167,76.5333,FLB Resorts Jerry's Jungle Huts
480,Leon Valley,US,89.65,clear sky,29.4952,-98.6186,Days Inn by Wyndham San Antonio Northwest/Seaworld
485,Brasileia,BR,78.08,broken clouds,-11.0161,-68.7481,Pousada Tobias
486,Lashio,MM,75.11,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
487,Cartagena,CO,82.02,light intensity drizzle,10.3997,-75.5144,Hotel Colombia Real - Cartagena
488,Pahrump,US,83.32,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
493,Juneau,US,82.4,broken clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
495,Fairbanks,US,83.61,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
501,Sarangani,PH,83.01,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
505,Marsaxlokk,MT,78.08,clear sky,35.8419,14.5431,Water's Edge
508,Veseloyarsk,RU,77.43,overcast clouds,51.2836,81.1056,
511,Sabha,LY,78.46,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
515,Along,IN,87.62,broken clouds,28.1667,94.7667,Hotel West
516,Paredon,MX,80.91,overcast clouds,16.0333,-93.8667,Hotel Principal Paredon
517,Mayo,US,76.26,clear sky,38.8876,-76.5119,Resorts Resource Group International
520,Naze,JP,83.32,scattered clouds,28.3667,129.4833,Shishime Hotel
532,Huaihua,CN,87.26,scattered clouds,27.5494,109.9592,怀化天庆大酒店
536,Road Town,VG,82.44,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
537,Pitimbu,BR,77.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
539,Deori Khas,IN,84.31,clear sky,23.4,79.0167,SAMARPAD COMPUTER DEORI
545,Middletown,US,81.16,clear sky,39.5151,-84.3983,Center of Hope for Women and Children
546,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
548,Nalut,LY,79.2,clear sky,30.3333,10.85,
550,Progreso,MX,80.85,clear sky,21.2833,-89.6667,Playa Linda Hotel
551,Eydhafushi,MV,83.16,overcast clouds,5.1033,73.0708,Soneva Fushi
552,Shingu,JP,76.26,moderate rain,33.7333,135.9833,Shingu UI Hotel
554,Bouloupari,NC,84.11,overcast clouds,-21.8667,166.05,Oua-Ya Lodge
557,Filadelfia,US,77.25,clear sky,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
561,Robertsport,LR,77.23,broken clouds,6.7533,-11.3686,Kwepunha Retreat
562,Ranau,MY,81.28,moderate rain,5.9538,116.6641,The Second Room
565,Tokur,RU,85.78,overcast clouds,53.1333,132.9,
566,Priiskovyy,RU,76.53,light rain,51.9333,116.6333,
568,Brenham,US,89.78,clear sky,30.1669,-96.3977,Hampton Inn & Suites Brenham
570,Nishihara,JP,87.85,scattered clouds,26.1842,127.7558,Minshuku Agaihama
571,Poya,NC,80.13,overcast clouds,-21.35,165.15,
578,Sunel,IN,87.71,broken clouds,24.3667,75.9667,Retorent
581,Auki,SB,85.82,scattered clouds,-8.7676,160.7034,Auki Motel
582,Inuvik,CA,88.56,smoke,68.3499,-133.7218,Nova Inn Inuvik
593,Potiskum,NG,76.62,overcast clouds,11.7091,11.0694,Tamir Hotel Ltd
594,Makhachkala,RU,77.02,clear sky,42.9764,47.5024,Argo
595,Tabas,IR,88.02,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
596,Atambua,ID,76.84,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
602,Moerai,PF,75.6,broken clouds,-22.4333,-151.3333,Le Manotel
605,Loudi,CN,84.04,overcast clouds,27.7344,111.9944,Till Bright Hotel
606,Uglekamensk,RU,84.51,overcast clouds,43.2172,133.2303,
610,Sibolga,ID,82.65,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
614,Xichang,CN,76.86,broken clouds,27.8964,102.2634,Xichang ibis Hotel
619,Yagodnoye,RU,84.76,overcast clouds,62.55,149.6667,Гостевой дом
623,Ixtapa,MX,78.71,overcast clouds,20.7,-105.2,hotel la terminal
625,Kallithea,GR,79.47,clear sky,37.95,23.7,Athens Atrium Hotel
627,Kirakira,SB,84.02,broken clouds,-10.4544,161.9205,SanBiz Lodge
630,Yamada,JP,80.6,overcast clouds,39.4667,141.95,Iroha-ya Inn
636,Karatsu,JP,82.29,overcast clouds,33.4425,129.9697,Niji no Matsubara Hotel
638,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
640,Mana,GF,76.93,overcast clouds,5.6592,-53.7767,LE SAMANA
641,Bilma,NE,85.53,clear sky,18.6853,12.9164,Expeditions Ténére voyages
643,Zhaoqing,CN,83.82,overcast clouds,23.0512,112.4597,七星岩旅游度假区
645,Nehe,CN,85.01,broken clouds,48.4833,124.8333,Vladimir Homestay
647,Kailua,US,82.38,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
649,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
653,Marawi,PH,78.55,overcast clouds,7.9986,124.2928,Derogongan Residence
654,Uruzgan,AF,80.37,few clouds,32.8333,66.0,
656,Kulhudhuffushi,MV,82.69,broken clouds,6.6221,73.07,Haajy Guest House 1
658,Lamar,US,86.65,clear sky,33.6668,-95.5836,Kings Inn Paris TX
661,Zhaozhou,CN,82.38,light rain,45.6833,125.3167,East Hotel
662,Puerto Madero,MX,81.48,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
666,Careiro Da Varzea,BR,79.41,broken clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
667,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
669,Mongo,TD,77.77,broken clouds,12.1844,18.693,Résidences du Programme FIDA
676,Jasper,US,85.14,few clouds,37.2001,-94.3502,Guest House Motel
677,Tripoli,LY,78.37,clear sky,32.8752,13.1875,Al Waddan Hotel
679,Mancio Lima,BR,75.13,scattered clouds,-7.6142,-72.8958,Motel Asas Do Desejo
687,Buchanan,LR,75.88,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
